candidateId,query,expectedAction,relevantChunkIds,evidenceHeading,evidenceExcerpt,principalRoles,requesterAudiences,asOf,tags,sourceKind,reviewDecision,reviewComment
IRC-001,고객에게 안내하려고 합니다. 2019년 금융위원회 안내에서 지정인 알림서비스 적용 대상은 몇 살부터였나요?,ANSWER,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a,고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다.,"■ ’ 19.10월부터 65세 이상의 고객이 희망하는 경우 일부 금융상품에 대해 가입할 때 가족 등 지정인에게 안내하는 서비스를 제공함

■ 종신보험, 중대질병보험(CI보험), 변액보험, ELS, 장외파생상품, 파생형 펀드 등 금융상품에 가입할 때 서비스를 제공

⇒ 고령 고객은 지정인 * 과 함께 본인에게 적합한 금융상품인지 여부를 다시 한번 판단할 수 있는 계기로 활용할 수 있게 됨

* 가족 등 지인 중 고객이 해당 금융상품 가입시 정하는 1인

1

추진 배경

□ 금융위원회와 금융권 협회는 지난 4월 18일 발표한「 금융소비자 보호 종합방안」 의 후속조치 로 ‘고령층 금융상품 계약시 지정인 알림서비스’ 에 대한 세부 시행방안 을 마련하였음

□ 고령층 의 경우 온정적 성향 등으로 인해 본인에게 적합하지 않은 상품 을 가입 하는 경우가 있다는 지적에 따라,

ㅇ 본인에게 적합한 금융상품 인지 여부를 다시 한번 판단 할 수 있는 계기 로 활용할 수 있도록 동 서비스 를 제공

2

세부 추진방안

□ (적용 대상 고객) 지정인 알림서비스 는 “65세 이상의 개인” 이 일부 금융상품을 가입할 때 “본인이 희망하는 경우” 에만 제공됨

ㅇ 다만, 금융상품에 대한 전문성 과 위험감수 능력 등이 있는 전문투자자 와 전문보험계약자 는 적용 대상에서 제외됨",PROTECTION_STAFF,STAFF,2026-08-27,지정인알림|가입대상|연령|표현변형|고객안내|seed:ORC-001,MACHINE_AUTHORED_REVIEW_CANDIDATE,PENDING,ORC-001 승인 근거에서 파생한 기계 작성 후보; 독립 사람 검수 필요
IRC-002,행원 검토용으로 공식 근거와 함께 답변해 주세요. 2019년 금융위원회 안내에서 지정인 알림서비스 적용 대상은 몇 살부터였나요?,ANSWER,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a,고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다.,"□ (적용 대상 고객) 지정인 알림서비스 는 “65세 이상의 개인” 이 일부 금융상품을 가입할 때 “본인이 희망하는 경우” 에만 제공됨

ㅇ 다만, 금융상품에 대한 전문성 과 위험감수 능력 등이 있는 전문투자자 와 전문보험계약자 는 적용 대상에서 제외됨

□ (적용 상품) 보험상품 과 금융투자상품 중 내용이 복잡하거나 위험이 큰 상품 에 대해서 우선적 으로 서비스 를 제공 할 계획임

ㅇ (보험) 납입기간이 장기인 종신보험 , 이와 유사한 중대질병보험 (CI 보험) * , 투자성 이 있고 상품구조 가 복잡 한 변액보험 에 적용하되, 月 보험료 5만원 이하 인 소액보험 은 제외 됨

* 중대질병 등 발생시 사망보험금의 일부를 미리 지급하는 보험

ㅇ (금투) 파생결합증권 (ELS · DLS) , 장외파생상품, 파생형 펀드, 조건부 자본증권 , 구조화증권 (자산유동화증권) , 후순위 채권 에 적용하고,

- 위 상품 에 주로 투자 하는 금융투자상품 (예: ELF · ELT · DLF · DLT 등) 에도 적용함

□ (판매 채널) 대면으로 상품 을 가입 한 경우에 서비스 를 우선 제공

* 인터넷 판매는 모집인의 권유 없이 본인이 주도적으로 판단하여 가입하고, 전화 판매는 고령자에 대해 청약 철회기간 연장 (30일 → 45일) 등 추가적인 보호장치가 마련되어 있는 점을 고려",PROTECTION_STAFF,STAFF,2026-08-27,지정인알림|가입대상|연령|표현변형|행원검토|seed:ORC-001,MACHINE_AUTHORED_REVIEW_CANDIDATE,PENDING,ORC-001 승인 근거에서 파생한 기계 작성 후보; 독립 사람 검수 필요
IRC-003,현재 승인된 규정 기준으로 확인해 주세요. 2019년 금융위원회 안내에서 지정인 알림서비스 적용 대상은 몇 살부터였나요?,ANSWER,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a,고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다.,"□ (적용 대상 고객) 지정인 알림서비스 는 “65세 이상의 개인” 이 일부 금융상품을 가입할 때 “본인이 희망하는 경우” 에만 제공됨

ㅇ 다만, 금융상품에 대한 전문성 과 위험감수 능력 등이 있는 전문투자자 와 전문보험계약자 는 적용 대상에서 제외됨

□ (적용 상품) 보험상품 과 금융투자상품 중 내용이 복잡하거나 위험이 큰 상품 에 대해서 우선적 으로 서비스 를 제공 할 계획임

ㅇ (보험) 납입기간이 장기인 종신보험 , 이와 유사한 중대질병보험 (CI 보험) * , 투자성 이 있고 상품구조 가 복잡 한 변액보험 에 적용하되, 月 보험료 5만원 이하 인 소액보험 은 제외 됨

* 중대질병 등 발생시 사망보험금의 일부를 미리 지급하는 보험

ㅇ (금투) 파생결합증권 (ELS · DLS) , 장외파생상품, 파생형 펀드, 조건부 자본증권 , 구조화증권 (자산유동화증권) , 후순위 채권 에 적용하고,

- 위 상품 에 주로 투자 하는 금융투자상품 (예: ELF · ELT · DLF · DLT 등) 에도 적용함

□ (판매 채널) 대면으로 상품 을 가입 한 경우에 서비스 를 우선 제공

* 인터넷 판매는 모집인의 권유 없이 본인이 주도적으로 판단하여 가입하고, 전화 판매는 고령자에 대해 청약 철회기간 연장 (30일 → 45일) 등 추가적인 보호장치가 마련되어 있는 점을 고려",PROTECTION_STAFF,STAFF,2026-08-27,지정인알림|가입대상|연령|표현변형|규정확인|seed:ORC-001,MACHINE_AUTHORED_REVIEW_CANDIDATE,PENDING,ORC-001 승인 근거에서 파생한 기계 작성 후보; 독립 사람 검수 필요
IRC-004,어려운 표현 없이 쉽게 설명해 주세요. 2019년 금융위원회 안내에서 지정인 알림서비스 적용 대상은 몇 살부터였나요?,ANSWER,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a,고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다.,"□ (적용 대상 고객) 지정인 알림서비스 는 “65세 이상의 개인” 이 일부 금융상품을 가입할 때 “본인이 희망하는 경우” 에만 제공됨

ㅇ 다만, 금융상품에 대한 전문성 과 위험감수 능력 등이 있는 전문투자자 와 전문보험계약자 는 적용 대상에서 제외됨

□ (적용 상품) 보험상품 과 금융투자상품 중 내용이 복잡하거나 위험이 큰 상품 에 대해서 우선적 으로 서비스 를 제공 할 계획임

ㅇ (보험) 납입기간이 장기인 종신보험 , 이와 유사한 중대질병보험 (CI 보험) * , 투자성 이 있고 상품구조 가 복잡 한 변액보험 에 적용하되, 月 보험료 5만원 이하 인 소액보험 은 제외 됨

* 중대질병 등 발생시 사망보험금의 일부를 미리 지급하는 보험

ㅇ (금투) 파생결합증권 (ELS · DLS) , 장외파생상품, 파생형 펀드, 조건부 자본증권 , 구조화증권 (자산유동화증권) , 후순위 채권 에 적용하고,

- 위 상품 에 주로 투자 하는 금융투자상품 (예: ELF · ELT · DLF · DLT 등) 에도 적용함

□ (판매 채널) 대면으로 상품 을 가입 한 경우에 서비스 를 우선 제공

* 인터넷 판매는 모집인의 권유 없이 본인이 주도적으로 판단하여 가입하고, 전화 판매는 고령자에 대해 청약 철회기간 연장 (30일 → 45일) 등 추가적인 보호장치가 마련되어 있는 점을 고려",PROTECTION_STAFF,STAFF,2026-08-27,지정인알림|가입대상|연령|표현변형|쉬운말|seed:ORC-001,MACHINE_AUTHORED_REVIEW_CANDIDATE,PENDING,ORC-001 승인 근거에서 파생한 기계 작성 후보; 독립 사람 검수 필요
IRC-005,핵심 조건만 정확히 확인하려고 합니다. 2019년 금융위원회 안내에서 지정인 알림서비스 적용 대상은 몇 살부터였나요?,ANSWER,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a,고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다.,"□ (적용 대상 고객) 지정인 알림서비스 는 “65세 이상의 개인” 이 일부 금융상품을 가입할 때 “본인이 희망하는 경우” 에만 제공됨

ㅇ 다만, 금융상품에 대한 전문성 과 위험감수 능력 등이 있는 전문투자자 와 전문보험계약자 는 적용 대상에서 제외됨

□ (적용 상품) 보험상품 과 금융투자상품 중 내용이 복잡하거나 위험이 큰 상품 에 대해서 우선적 으로 서비스 를 제공 할 계획임

ㅇ (보험) 납입기간이 장기인 종신보험 , 이와 유사한 중대질병보험 (CI 보험) * , 투자성 이 있고 상품구조 가 복잡 한 변액보험 에 적용하되, 月 보험료 5만원 이하 인 소액보험 은 제외 됨

* 중대질병 등 발생시 사망보험금의 일부를 미리 지급하는 보험

ㅇ (금투) 파생결합증권 (ELS · DLS) , 장외파생상품, 파생형 펀드, 조건부 자본증권 , 구조화증권 (자산유동화증권) , 후순위 채권 에 적용하고,

- 위 상품 에 주로 투자 하는 금융투자상품 (예: ELF · ELT · DLF · DLT 등) 에도 적용함

□ (판매 채널) 대면으로 상품 을 가입 한 경우에 서비스 를 우선 제공

* 인터넷 판매는 모집인의 권유 없이 본인이 주도적으로 판단하여 가입하고, 전화 판매는 고령자에 대해 청약 철회기간 연장 (30일 → 45일) 등 추가적인 보호장치가 마련되어 있는 점을 고려",PROTECTION_STAFF,STAFF,2026-08-27,지정인알림|가입대상|연령|표현변형|핵심조건|seed:ORC-001,MACHINE_AUTHORED_REVIEW_CANDIDATE,PENDING,ORC-001 승인 근거에서 파생한 기계 작성 후보; 독립 사람 검수 필요
IRC-006,고객에게 안내하려고 합니다. 2019년 금융위원회 안내에서 지정인 알림서비스 적용 예정 상품 범위는 무엇이었나요?,ANSWER,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a|chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다. | 고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다.,"■ ’ 19.10월부터 65세 이상의 고객이 희망하는 경우 일부 금융상품에 대해 가입할 때 가족 등 지정인에게 안내하는 서비스를 제공함

■ 종신보험, 중대질병보험(CI보험), 변액보험, ELS, 장외파생상품, 파생형 펀드 등 금융상품에 가입할 때 서비스를 제공

⇒ 고령 고객은 지정인 * 과 함께 본인에게 적합한 금융상품인지 여부를 다시 한번 판단할 수 있는 계기로 활용할 수 있게 됨

* 가족 등 지인 중 고객이 해당 금융상품 가입시 정하는 1인

1

추진 배경

□ 금융위원회와 금융권 협회는 지난 4월 18일 발표한「 금융소비자 보호 종합방안」 의 후속조치 로 ‘고령층 금융상품 계약시 지정인 알림서비스’ 에 대한 세부 시행방안 을 마련하였음

□ 고령층 의 경우 온정적 성향 등으로 인해 본인에게 적합하지 않은 상품 을 가입 하는 경우가 있다는 지적에 따라,

ㅇ 본인에게 적합한 금융상품 인지 여부를 다시 한번 판단 할 수 있는 계기 로 활용할 수 있도록 동 서비스 를 제공

2

세부 추진방안

□ (적용 대상 고객) 지정인 알림서비스 는 “65세 이상의 개인” 이 일부 금융상품을 가입할 때 “본인이 희망하는 경우” 에만 제공됨

ㅇ 다만, 금융상품에 대한 전문성 과 위험감수 능력 등이 있는 전문투자자 와 전문보험계약자 는 적용 대상에서 제외됨 | □ 서비스 제공을 위한 개별금융회사의 전산시스템 개발 · 구축 등 준비 절차 를 거친 후 ’19.10월 부터 지정인에 대한 알림 서비스 제공 예정

참 고

안내 메시지(예시) 및 서비스 적용사례

1. 지정인에게 제공되는 안내 메시지(예시)

< 안내 메시지(예시) >

안녕하십니까? ○○금융회사입니다.

◇◇◇님의 가족이신 △△△님께서 0000년 00월 00일

본사에 제××××회 파생결합증권 10,000,000원을 청약

하셨음을 알려드립니다.

청약 관련 문의사항은 ○○금융회사 □□지점 ◎◎◎에게 000-0000-0000번으로 연락주시기 바랍니다.

2. 계약사실 알림 서비스 적용사례

< 고령층 금융상품 ‘계약사실 알림’ 서비스 적용사례 >

[사례1 : 보험]",PROTECTION_STAFF,STAFF,2026-08-27,지정인알림|적용상품|표현변형|고객안내|seed:ORC-002,MACHINE_AUTHORED_REVIEW_CANDIDATE,PENDING,ORC-002 승인 근거에서 파생한 기계 작성 후보; 독립 사람 검수 필요
IRC-007,행원 검토용으로 공식 근거와 함께 답변해 주세요. 2019년 금융위원회 안내에서 지정인 알림서비스 적용 예정 상품 범위는 무엇이었나요?,ANSWER,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a|chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다. | 고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다.,"□ 금융위원회와 금융권 협회는 지난 4월 18일 발표한「 금융소비자 보호 종합방안」 의 후속조치 로 ‘고령층 금융상품 계약시 지정인 알림서비스’ 에 대한 세부 시행방안 을 마련하였음

□ 고령층 의 경우 온정적 성향 등으로 인해 본인에게 적합하지 않은 상품 을 가입 하는 경우가 있다는 지적에 따라,

ㅇ 본인에게 적합한 금융상품 인지 여부를 다시 한번 판단 할 수 있는 계기 로 활용할 수 있도록 동 서비스 를 제공

2

세부 추진방안

□ (적용 대상 고객) 지정인 알림서비스 는 “65세 이상의 개인” 이 일부 금융상품을 가입할 때 “본인이 희망하는 경우” 에만 제공됨

ㅇ 다만, 금융상품에 대한 전문성 과 위험감수 능력 등이 있는 전문투자자 와 전문보험계약자 는 적용 대상에서 제외됨

□ (적용 상품) 보험상품 과 금융투자상품 중 내용이 복잡하거나 위험이 큰 상품 에 대해서 우선적 으로 서비스 를 제공 할 계획임

ㅇ (보험) 납입기간이 장기인 종신보험 , 이와 유사한 중대질병보험 (CI 보험) * , 투자성 이 있고 상품구조 가 복잡 한 변액보험 에 적용하되, 月 보험료 5만원 이하 인 소액보험 은 제외 됨

* 중대질병 등 발생시 사망보험금의 일부를 미리 지급하는 보험

ㅇ (금투) 파생결합증권 (ELS · DLS) , 장외파생상품, 파생형 펀드, 조건부 자본증권 , 구조화증권 (자산유동화증권) , 후순위 채권 에 적용하고, | □ 서비스 제공을 위한 개별금융회사의 전산시스템 개발 · 구축 등 준비 절차 를 거친 후 ’19.10월 부터 지정인에 대한 알림 서비스 제공 예정

참 고

안내 메시지(예시) 및 서비스 적용사례

1. 지정인에게 제공되는 안내 메시지(예시)

< 안내 메시지(예시) >

안녕하십니까? ○○금융회사입니다.

◇◇◇님의 가족이신 △△△님께서 0000년 00월 00일

본사에 제××××회 파생결합증권 10,000,000원을 청약

하셨음을 알려드립니다.

청약 관련 문의사항은 ○○금융회사 □□지점 ◎◎◎에게 000-0000-0000번으로 연락주시기 바랍니다.

2. 계약사실 알림 서비스 적용사례

< 고령층 금융상품 ‘계약사실 알림’ 서비스 적용사례 >

[사례1 : 보험]",PROTECTION_STAFF,STAFF,2026-08-27,지정인알림|적용상품|표현변형|행원검토|seed:ORC-002,MACHINE_AUTHORED_REVIEW_CANDIDATE,PENDING,ORC-002 승인 근거에서 파생한 기계 작성 후보; 독립 사람 검수 필요
IRC-008,현재 승인된 규정 기준으로 확인해 주세요. 2019년 금융위원회 안내에서 지정인 알림서비스 적용 예정 상품 범위는 무엇이었나요?,ANSWER,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a|chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다. | 고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다.,"□ 금융위원회와 금융권 협회는 지난 4월 18일 발표한「 금융소비자 보호 종합방안」 의 후속조치 로 ‘고령층 금융상품 계약시 지정인 알림서비스’ 에 대한 세부 시행방안 을 마련하였음

□ 고령층 의 경우 온정적 성향 등으로 인해 본인에게 적합하지 않은 상품 을 가입 하는 경우가 있다는 지적에 따라,

ㅇ 본인에게 적합한 금융상품 인지 여부를 다시 한번 판단 할 수 있는 계기 로 활용할 수 있도록 동 서비스 를 제공

2

세부 추진방안

□ (적용 대상 고객) 지정인 알림서비스 는 “65세 이상의 개인” 이 일부 금융상품을 가입할 때 “본인이 희망하는 경우” 에만 제공됨

ㅇ 다만, 금융상품에 대한 전문성 과 위험감수 능력 등이 있는 전문투자자 와 전문보험계약자 는 적용 대상에서 제외됨

□ (적용 상품) 보험상품 과 금융투자상품 중 내용이 복잡하거나 위험이 큰 상품 에 대해서 우선적 으로 서비스 를 제공 할 계획임

ㅇ (보험) 납입기간이 장기인 종신보험 , 이와 유사한 중대질병보험 (CI 보험) * , 투자성 이 있고 상품구조 가 복잡 한 변액보험 에 적용하되, 月 보험료 5만원 이하 인 소액보험 은 제외 됨

* 중대질병 등 발생시 사망보험금의 일부를 미리 지급하는 보험

ㅇ (금투) 파생결합증권 (ELS · DLS) , 장외파생상품, 파생형 펀드, 조건부 자본증권 , 구조화증권 (자산유동화증권) , 후순위 채권 에 적용하고, | □ 서비스 제공을 위한 개별금융회사의 전산시스템 개발 · 구축 등 준비 절차 를 거친 후 ’19.10월 부터 지정인에 대한 알림 서비스 제공 예정

참 고

안내 메시지(예시) 및 서비스 적용사례

1. 지정인에게 제공되는 안내 메시지(예시)

< 안내 메시지(예시) >

안녕하십니까? ○○금융회사입니다.

◇◇◇님의 가족이신 △△△님께서 0000년 00월 00일

본사에 제××××회 파생결합증권 10,000,000원을 청약

하셨음을 알려드립니다.

청약 관련 문의사항은 ○○금융회사 □□지점 ◎◎◎에게 000-0000-0000번으로 연락주시기 바랍니다.

2. 계약사실 알림 서비스 적용사례

< 고령층 금융상품 ‘계약사실 알림’ 서비스 적용사례 >

[사례1 : 보험]",PROTECTION_STAFF,STAFF,2026-08-27,지정인알림|적용상품|표현변형|규정확인|seed:ORC-002,MACHINE_AUTHORED_REVIEW_CANDIDATE,PENDING,ORC-002 승인 근거에서 파생한 기계 작성 후보; 독립 사람 검수 필요
IRC-009,어려운 표현 없이 쉽게 설명해 주세요. 2019년 금융위원회 안내에서 지정인 알림서비스 적용 예정 상품 범위는 무엇이었나요?,ANSWER,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a|chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다. | 고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다.,"□ 금융위원회와 금융권 협회는 지난 4월 18일 발표한「 금융소비자 보호 종합방안」 의 후속조치 로 ‘고령층 금융상품 계약시 지정인 알림서비스’ 에 대한 세부 시행방안 을 마련하였음

□ 고령층 의 경우 온정적 성향 등으로 인해 본인에게 적합하지 않은 상품 을 가입 하는 경우가 있다는 지적에 따라,

ㅇ 본인에게 적합한 금융상품 인지 여부를 다시 한번 판단 할 수 있는 계기 로 활용할 수 있도록 동 서비스 를 제공

2

세부 추진방안

□ (적용 대상 고객) 지정인 알림서비스 는 “65세 이상의 개인” 이 일부 금융상품을 가입할 때 “본인이 희망하는 경우” 에만 제공됨

ㅇ 다만, 금융상품에 대한 전문성 과 위험감수 능력 등이 있는 전문투자자 와 전문보험계약자 는 적용 대상에서 제외됨

□ (적용 상품) 보험상품 과 금융투자상품 중 내용이 복잡하거나 위험이 큰 상품 에 대해서 우선적 으로 서비스 를 제공 할 계획임

ㅇ (보험) 납입기간이 장기인 종신보험 , 이와 유사한 중대질병보험 (CI 보험) * , 투자성 이 있고 상품구조 가 복잡 한 변액보험 에 적용하되, 月 보험료 5만원 이하 인 소액보험 은 제외 됨

* 중대질병 등 발생시 사망보험금의 일부를 미리 지급하는 보험

ㅇ (금투) 파생결합증권 (ELS · DLS) , 장외파생상품, 파생형 펀드, 조건부 자본증권 , 구조화증권 (자산유동화증권) , 후순위 채권 에 적용하고, | □ 서비스 제공을 위한 개별금융회사의 전산시스템 개발 · 구축 등 준비 절차 를 거친 후 ’19.10월 부터 지정인에 대한 알림 서비스 제공 예정

참 고

안내 메시지(예시) 및 서비스 적용사례

1. 지정인에게 제공되는 안내 메시지(예시)

< 안내 메시지(예시) >

안녕하십니까? ○○금융회사입니다.

◇◇◇님의 가족이신 △△△님께서 0000년 00월 00일

본사에 제××××회 파생결합증권 10,000,000원을 청약

하셨음을 알려드립니다.

청약 관련 문의사항은 ○○금융회사 □□지점 ◎◎◎에게 000-0000-0000번으로 연락주시기 바랍니다.

2. 계약사실 알림 서비스 적용사례

< 고령층 금융상품 ‘계약사실 알림’ 서비스 적용사례 >

[사례1 : 보험]",PROTECTION_STAFF,STAFF,2026-08-27,지정인알림|적용상품|표현변형|쉬운말|seed:ORC-002,MACHINE_AUTHORED_REVIEW_CANDIDATE,PENDING,ORC-002 승인 근거에서 파생한 기계 작성 후보; 독립 사람 검수 필요
IRC-010,핵심 조건만 정확히 확인하려고 합니다. 2019년 금융위원회 안내에서 지정인 알림서비스 적용 예정 상품 범위는 무엇이었나요?,ANSWER,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a|chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다. | 고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다.,"□ 금융위원회와 금융권 협회는 지난 4월 18일 발표한「 금융소비자 보호 종합방안」 의 후속조치 로 ‘고령층 금융상품 계약시 지정인 알림서비스’ 에 대한 세부 시행방안 을 마련하였음

□ 고령층 의 경우 온정적 성향 등으로 인해 본인에게 적합하지 않은 상품 을 가입 하는 경우가 있다는 지적에 따라,

ㅇ 본인에게 적합한 금융상품 인지 여부를 다시 한번 판단 할 수 있는 계기 로 활용할 수 있도록 동 서비스 를 제공

2

세부 추진방안

□ (적용 대상 고객) 지정인 알림서비스 는 “65세 이상의 개인” 이 일부 금융상품을 가입할 때 “본인이 희망하는 경우” 에만 제공됨

ㅇ 다만, 금융상품에 대한 전문성 과 위험감수 능력 등이 있는 전문투자자 와 전문보험계약자 는 적용 대상에서 제외됨

□ (적용 상품) 보험상품 과 금융투자상품 중 내용이 복잡하거나 위험이 큰 상품 에 대해서 우선적 으로 서비스 를 제공 할 계획임

ㅇ (보험) 납입기간이 장기인 종신보험 , 이와 유사한 중대질병보험 (CI 보험) * , 투자성 이 있고 상품구조 가 복잡 한 변액보험 에 적용하되, 月 보험료 5만원 이하 인 소액보험 은 제외 됨

* 중대질병 등 발생시 사망보험금의 일부를 미리 지급하는 보험

ㅇ (금투) 파생결합증권 (ELS · DLS) , 장외파생상품, 파생형 펀드, 조건부 자본증권 , 구조화증권 (자산유동화증권) , 후순위 채권 에 적용하고, | □ 서비스 제공을 위한 개별금융회사의 전산시스템 개발 · 구축 등 준비 절차 를 거친 후 ’19.10월 부터 지정인에 대한 알림 서비스 제공 예정

참 고

안내 메시지(예시) 및 서비스 적용사례

1. 지정인에게 제공되는 안내 메시지(예시)

< 안내 메시지(예시) >

안녕하십니까? ○○금융회사입니다.

◇◇◇님의 가족이신 △△△님께서 0000년 00월 00일

본사에 제××××회 파생결합증권 10,000,000원을 청약

하셨음을 알려드립니다.

청약 관련 문의사항은 ○○금융회사 □□지점 ◎◎◎에게 000-0000-0000번으로 연락주시기 바랍니다.

2. 계약사실 알림 서비스 적용사례

< 고령층 금융상품 ‘계약사실 알림’ 서비스 적용사례 >

[사례1 : 보험]",PROTECTION_STAFF,STAFF,2026-08-27,지정인알림|적용상품|표현변형|핵심조건|seed:ORC-002,MACHINE_AUTHORED_REVIEW_CANDIDATE,PENDING,ORC-002 승인 근거에서 파생한 기계 작성 후보; 독립 사람 검수 필요
