candidateId,query,expectedAction,relevantChunkIds,evidenceHeading,evidenceExcerpt,principalRoles,requesterAudiences,asOf,tags,sourceKind,reviewDecision,reviewComment
ORC-001,고령 고객 지정인 알림서비스는 몇 살부터 신청할 수 있나요?,ANSWER,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a,고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다.,"□ (적용 대상 고객) 지정인 알림서비스 는 “65세 이상의 개인” 이 일부 금융상품을 가입할 때 “본인이 희망하는 경우” 에만 제공됨

ㅇ 다만, 금융상품에 대한 전문성 과 위험감수 능력 등이 있는 전문투자자 와 전문보험계약자 는 적용 대상에서 제외됨

□ (적용 상품) 보험상품 과 금융투자상품 중 내용이 복잡하거나 위험이 큰 상품 에 대해서 우선적 으로 서비스 를 제공 할 계획임

ㅇ (보험) 납입기간이 장기인 종신보험 , 이와 유사한 중대질병보험 (CI 보험) * , 투자성 이 있고 상품구조 가 복잡 한 변액보험 에 적용하되, 月 보험료 5만원 이하 인 소액보험 은 제외 됨

* 중대질병 등 발생시 사망보험금의 일부를 미리 지급하는 보험

ㅇ (금투) 파생결합증권 (ELS · DLS) , 장외파생상품, 파생형 펀드, 조건부 자본증권 , 구조화증권 (자산유동화증권) , 후순위 채권 에 적용하고,

- 위 상품 에 주로 투자 하는 금융투자상품 (예: ELF · ELT · DLF · DLT 등) 에도 적용함

□ (판매 채널) 대면으로 상품 을 가입 한 경우에 서비스 를 우선 제공

* 인터넷 판매는 모집인의 권유 없이 본인이 주도적으로 판단하여 가입하고, 전화 판매는 고령자에 대해 청약 철회기간 연장 (30일 → 45일) 등 추가적인 보호장치가 마련되어 있는 점을 고려",PROTECTION_STAFF,STAFF,2026-08-27,지정인알림|가입대상|연령,OFFICIAL_IN_REVIEW,PENDING,AI 1차 검토: 65세 이상·본인 희망 조건이 근거에 명시됨. 사람의 원문 확인 필요
ORC-002,지정인 알림서비스가 적용되는 보험과 금융투자상품 범위가 궁금해요.,ANSWER,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a|chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다. | 고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다.,"□ (적용 상품) 보험상품 과 금융투자상품 중 내용이 복잡하거나 위험이 큰 상품 에 대해서 우선적 으로 서비스 를 제공 할 계획임

ㅇ (보험) 납입기간이 장기인 종신보험 , 이와 유사한 중대질병보험 (CI 보험) * , 투자성 이 있고 상품구조 가 복잡 한 변액보험 에 적용하되, 月 보험료 5만원 이하 인 소액보험 은 제외 됨

* 중대질병 등 발생시 사망보험금의 일부를 미리 지급하는 보험

ㅇ (금투) 파생결합증권 (ELS · DLS) , 장외파생상품, 파생형 펀드, 조건부 자본증권 , 구조화증권 (자산유동화증권) , 후순위 채권 에 적용하고,

- 위 상품 에 주로 투자 하는 금융투자상품 (예: ELF · ELT · DLF · DLT 등) 에도 적용함

□ (판매 채널) 대면으로 상품 을 가입 한 경우에 서비스 를 우선 제공

* 인터넷 판매는 모집인의 권유 없이 본인이 주도적으로 판단하여 가입하고, 전화 판매는 고령자에 대해 청약 철회기간 연장 (30일 → 45일) 등 추가적인 보호장치가 마련되어 있는 점을 고려 | - 수집 · 이용되는 개인정보는 금융회사가 서비스 제공에 필요한 최소한의 범위(지정인의 성명, 계약자와의 관계, 휴대폰 번호)로 한정

□ 안내 메시지 를 통해 해당 고령층이 가입한 상품명, 금융회사, 가입시점 등의 내용이 제공 됨 ( ☞ 참고 참조)

4

기대효과

□ 지정인에게 가입한 금융상품 정보가 안내 되면, 지정인 과 함께 본인 에게 적합한 상품 인지 여부를 다시 한번 판단 할 수 있는 계기 로 활용할 수 있으며,

ㅇ 본인에게 부적합한 상품 이라고 판단 될 때 청약 철회권 행사 등 적절한 조치 를 취할 수 있음 ( ☞ 참고 참조)

5

향후 추진계획

□ 서비스 제공을 위한 개별금융회사의 전산시스템 개발 · 구축 등 준비 절차 를 거친 후 ’19.10월 부터 지정인에 대한 알림 서비스 제공 예정

참 고

안내 메시지(예시) 및 서비스 적용사례

1. 지정인에게 제공되는 안내 메시지(예시)

< 안내 메시지(예시) >

안녕하십니까? ○○금융회사입니다.

◇◇◇님의 가족이신 △△△님께서 0000년 00월 00일

본사에 제××××회 파생결합증권 10,000,000원을 청약

하셨음을 알려드립니다.

청약 관련 문의사항은 ○○금융회사 □□지점 ◎◎◎에게 000-0000-0000번으로 연락주시기 바랍니다.

2. 계약사실 알림 서비스 적용사례

< 고령층 금융상품 ‘계약사실 알림’ 서비스 적용사례 >

[사례1 : 보험]",PROTECTION_STAFF,STAFF,2026-08-27,지정인알림|적용상품,OFFICIAL_IN_REVIEW,PENDING,AI 1차 검토: 상품군과 제외 조건이 두 청크에 걸쳐 있음. 사람의 범위 확인 필요
ORC-003,지정인 알림서비스 신청부터 안내 메시지 전송까지 절차는 어떻게 되나요?,ANSWER,chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,고령층이 희망하는 경우 가입한 금융상품 정보를가족 등에게 안내하는 서비스를 제공합니다.,"□ ① 고객이 서비스 제공대상 인지 확인 → ② 본인 (고령층) 에게 서비스 이용의사 를 확인 → ③ 지인 중 지정인 지명 → ④ 지정인 의 동의 → ⑤ 지정인 정보 를 취득 → ⑥ 지정인 에게 안내 메시지 전송

※ 금융회사가 지정인에 대한 개인정보를 수집 · 이용하기 위해서는 개인정보 보호법 (제15조) 에 따라 개인정보 수집 · 이용에 대한 지정인의 동의가 필요하고,

- 수집 · 이용되는 개인정보는 금융회사가 서비스 제공에 필요한 최소한의 범위(지정인의 성명, 계약자와의 관계, 휴대폰 번호)로 한정

□ 안내 메시지 를 통해 해당 고령층이 가입한 상품명, 금융회사, 가입시점 등의 내용이 제공 됨 ( ☞ 참고 참조)

4

기대효과

□ 지정인에게 가입한 금융상품 정보가 안내 되면, 지정인 과 함께 본인 에게 적합한 상품 인지 여부를 다시 한번 판단 할 수 있는 계기 로 활용할 수 있으며,

ㅇ 본인에게 부적합한 상품 이라고 판단 될 때 청약 철회권 행사 등 적절한 조치 를 취할 수 있음 ( ☞ 참고 참조)

5

향후 추진계획

□ 서비스 제공을 위한 개별금융회사의 전산시스템 개발 · 구축 등 준비 절차 를 거친 후 ’19.10월 부터 지정인에 대한 알림 서비스 제공 예정

참 고

안내 메시지(예시) 및 서비스 적용사례

1. 지정인에게 제공되는 안내 메시지(예시)

< 안내 메시지(예시) >

안녕하십니까? ○○금융회사입니다.",PROTECTION_STAFF,STAFF,2026-08-27,지정인알림|절차|동의,OFFICIAL_IN_REVIEW,PENDING,AI 1차 검토: 대상 확인부터 지정인 동의·메시지 전송까지 순서가 명시됨
ORC-004,보이스피싱범에게 현금을 직접 건넨 경우도 피해구제를 받을 수 있나요?,ANSWER,chk_b7f3e9ad1534cc055179c727590e85ecc244d684e68f740f4b08b9241ca17982,[보도자료] 오늘부터 대면편취형 보이스피싱도 피해구제 대상에 포함됩니다. - 개정 ｢통신사기피해환급법｣이 ’23.11.17일부터 시행되어 대면편취형 보이스피싱도 관련 계좌에 대한 지급정지 및 피해금 환급 등이 가능해집니다.,"보이스피싱 사기범을 만나 직접 현금을 전달하는 대면편취형 보이스피싱의 경우 그간 건수 및 비중이 큰 폭으로 증가*하여 피해자 보호 필요성이 부각되었으나, ｢통신사기피해환급법｣은 계좌간 송금･이체된 보이스피싱에만 적용되어 대면편취형 보이스피싱 피해자는 계좌 지급정지, 피해금 환급 등의 구제절차를 신청할 수 없는 한계가 있었다.

* ’19년 3,244건(8.6%) → ’20년 15,111건(47.7%) → ’21년 22,752건(73.4%) → ’22년 14,053건(64.4%) [경찰청]

이에 정부는 ’22.9.29. 국무조정실 주관 ｢보이스피싱 대응 범정부 TF｣에서 금융분야 대책을 발표하고, 대면편취형 보이스피싱을 피해구제 대상에 포함시키는 법 개정을 추진하였고, ’23.5.16일 ｢통신사기피해환급법｣이 개정·공포되어 오늘부터 시행된다.

개정된 ｢통신사기피해환급법｣에 따르면, 수사기관이 보이스피싱 사기범 등을 검거하면서 대면편취형 보이스피싱에 사용된 사기이용계좌를 확인하면, 해당 금융회사에 지급정지를 요청할 수 있다. 이후 수사기관은 수사 과정에서 피해 경위를 파악하여 피해자 및 피해금을 특정하고 금융회사에 통지하면 금융회사는 수사기관으로부터 통지받은 피해자에 대하여 금감원에 채권소멸절차 개시 공고를 요청하면서 채권소멸과 피해환급금 지급 등의 절차를 진행하게 된다.",PROTECTION_STAFF,STAFF,2026-08-27,대면편취|보이스피싱|피해구제,OFFICIAL_IN_REVIEW,PENDING,AI 1차 검토: 대면편취형 보이스피싱의 구제대상 포함 내용이 직접 명시됨
ORC-005,대면편취형 보이스피싱의 구두 지급정지 후 서면 제출 기한은 어떻게 되나요?,ANSWER,chk_41001a8d62981383efa809a9b1b90c24794375d86fe04d158e2b514436781b2f,[보도자료] 오늘부터 대면편취형 보이스피싱도 피해구제 대상에 포함됩니다. - 개정 ｢통신사기피해환급법｣이 ’23.11.17일부터 시행되어 대면편취형 보이스피싱도 관련 계좌에 대한 지급정지 및 피해금 환급 등이 가능해집니다.,◦ ① (수사기관) 구두 지급정지 요청 → ② 서면 지급정지 요청 [3영업일*] → ③ 피해경위 조사 → ④ 서면 피해구제 신청 [30영업일*] → ⑤ (금융회사)채권소멸절차 개시공고 요청 → ⑥ (금감원)채권소멸절차 개시공고[2개월] 및 채권소멸 사실 통지 → ⑦ 피해환급금 지급 결정[2주] → ⑧ (금융회사)피해환급금 지급 * 구두 지급정지 요청일로부터,PROTECTION_STAFF,STAFF,2026-08-27,대면편취|지급정지|기한,OFFICIAL_IN_REVIEW,PENDING,AI 1차 검토: 3영업일·30영업일 절차가 근거에 포함됨. 기산점 원문 확인 필요
ORC-006,비대면 계좌개설 안심차단은 어디에서 신청하고 어디에서 해제하나요?,ANSWER,chk_3980e37444f0402405ca47dbb3434ae754919f186b468681ce07214f04d721e9,◈ 비대면 계좌개설 안심차단서비스는 어디에서 신청하고 해제할 수 있나요?,"비대면 계좌개설 안심차단서비스 신청은 거래 중인 은행, 저축은행, 농·수·신협, 산림조합, 우체국의 영업점을 직접 방문하여 대면 신청하거나, 금융결제원의 어카운트인포(앱, 홈페이지) 및 은행의 모바일 또는 인터넷뱅킹을 통해 신청할 수 있습니다. 안심차단 해제는 보이스피싱, 명의도용 사기범의 무단 해제를 방지하기 위하여 영업점을 방문하여 대면 신청만 가능합니다.",PROTECTION_STAFF,STAFF,2026-08-27,비대면계좌|안심차단|신청|해제,OFFICIAL_IN_REVIEW,PENDING,AI 1차 검토: 신청 채널과 대면 해제 원칙이 한 청크에 명확함
ORC-007,비대면 계좌개설 안심차단이 적용되는 계좌 종류는 무엇인가요?,ANSWER,chk_673405657d31a41df1e6448e10be8526d6f718feb8980848388a2cf35e8a43f4,◈ 비대면 계좌개설 안심차단 서비스 적용대상은 무엇인가요?,비대면으로 신규 개설되는 원화 및 외화 수시입출식 계좌에 대해 안심차단 서비스가 적용됩니다.,PROTECTION_STAFF,STAFF,2026-08-27,비대면계좌|안심차단|적용대상,OFFICIAL_IN_REVIEW,PENDING,AI 1차 검토: 신규 원화·외화 수시입출식 계좌로 명시됨
ORC-008,안심차단으로 비대면 계좌개설이 막히는 금융회사는 어디까지인가요?,ANSWER,chk_48b821508f6dd1e159c9023e02247e5b8e8f6ae8c57cf8edef08fcf467c5f914,◈ 비대면 계좌개설이 차단되는 금융회사의 범위는 어디까지 인가요?,"은행, 저축은행, 증권사, 농·수·신협, 산림조합, 우체국의 비대면 수시입출식 계좌 개설이 차단됩니다.",PROTECTION_STAFF,STAFF,2026-08-27,비대면계좌|안심차단|금융회사,OFFICIAL_IN_REVIEW,PENDING,AI 1차 검토: 적용 금융회사 목록이 직접 열거됨
ORC-009,영업점에 가지 않고 비대면 계좌개설 안심차단을 신청할 수 있나요?,ANSWER,chk_36573d6ae15a475d53ffec73c314795b99fa19bea20ddd2def67dec79935cfcf,◈ 비대면 신청도 가능한가요?,"금융결제원의 어카운트인포(앱, 홈페이지) 및 은행의 모바일 또는 인터넷뱅킹을 통해 비대면 계좌개설 안심차단 서비스를 신청할 수 있습니다.",PROTECTION_STAFF,STAFF,2026-08-27,비대면계좌|안심차단|온라인신청,OFFICIAL_IN_REVIEW,PENDING,AI 1차 검토: 어카운트인포와 모바일·인터넷뱅킹 신청이 명시됨
ORC-010,가족이 대신 안심차단을 신청하거나 해제할 수 있나요?,ANSWER,chk_9f28f089542be1947ab2a34ce21fa3bac48e79b9da83ec979b3e9a3e7d07e29b,◈ 대리 신청 및 해제도 가능한가요?,이용자 본인 및 법정대리인에 한해 신청 및 해제가 가능하며 향후 위임을 받은 대리인의 신청 및 해제까지 확대하는 방안을 검토할 계획입니다.,PROTECTION_STAFF,STAFF,2026-08-27,비대면계좌|안심차단|대리인,OFFICIAL_IN_REVIEW,PENDING,AI 1차 검토: 현재 본인·법정대리인만 가능하다는 범위가 명시됨
