candidateId,expectedChunkId,alternativeTopChunkId,alternativeRelevanceDecision,reasonCode,reviewComment,reviewedBy,reviewedAt
IRC-012,chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a,REJECTED,WRONG_SUBSECTION_NO_PROCEDURE,대체 청크는 대상·상품 범위만 설명하고 질문의 서비스 제공 절차를 답하지 않음,competition-team-owner,2026-09-02
IRC-013,chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a,REJECTED,WRONG_SUBSECTION_NO_PROCEDURE,대체 청크는 대상·상품 범위만 설명하고 질문의 서비스 제공 절차를 답하지 않음,competition-team-owner,2026-09-02
IRC-015,chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a,REJECTED,WRONG_SUBSECTION_NO_PROCEDURE,대체 청크는 대상·상품 범위만 설명하고 질문의 서비스 제공 절차를 답하지 않음,competition-team-owner,2026-09-02
IRC-056,chk_57ba75395f3441fce8abe87bbc3abbf2afd2369af578e3c06ec1102be5622365,chk_42d7a2e929484c339b25bb3eb84c20b13610a4a23a9967e251f35c533cb48866,REJECTED,CHECKLIST_WITHOUT_EXCLUSION_ANSWER,대체 청크는 일반 자격 체크리스트이며 보이스피싱 제외 결론은 기대 청크에만 명시됨,competition-team-owner,2026-09-02
IRC-058,chk_57ba75395f3441fce8abe87bbc3abbf2afd2369af578e3c06ec1102be5622365,chk_42d7a2e929484c339b25bb3eb84c20b13610a4a23a9967e251f35c533cb48866,REJECTED,CHECKLIST_WITHOUT_EXCLUSION_ANSWER,대체 청크는 일반 자격 체크리스트이며 보이스피싱 제외 결론은 기대 청크에만 명시됨,competition-team-owner,2026-09-02
IRC-060,chk_57ba75395f3441fce8abe87bbc3abbf2afd2369af578e3c06ec1102be5622365,chk_42d7a2e929484c339b25bb3eb84c20b13610a4a23a9967e251f35c533cb48866,REJECTED,CHECKLIST_WITHOUT_EXCLUSION_ANSWER,대체 청크는 일반 자격 체크리스트이며 보이스피싱 제외 결론은 기대 청크에만 명시됨,competition-team-owner,2026-09-02
IRC-063,chk_526ab30d553de3b0a266e5cb8e21d589ad568bc6f6c6b5fa7110c35ffbcbb014,chk_d12471a0e91268b745e937fc3c73a0db7dbf7c2a056945160d7b04f5030aebfd,REJECTED,FUTURE_AMENDMENT_FOR_AS_OF_DATE,대체 청크에는 질의 기준일 이후인 2026-10-01 시행 개정문이 포함되어 당시 근거로 확장할 수 없음,competition-team-owner,2026-09-02
IRC-086,chk_cab97dcf81fdb9bdf63d41cfca2cbeaff9d3609c541cf8fbe7fb21bcb090a840,chk_d77763da67b28c3414fefa6bd43d4653f336bf64a53354663e466abcff6974e0,REJECTED,FUTURE_AMENDMENT_FOR_AS_OF_DATE,대체 청크에는 질의 기준일 이후인 2026-10-01 시행 개정문이 포함되어 당시 근거로 확장할 수 없음,competition-team-owner,2026-09-02
IRC-087,chk_cab97dcf81fdb9bdf63d41cfca2cbeaff9d3609c541cf8fbe7fb21bcb090a840,chk_d77763da67b28c3414fefa6bd43d4653f336bf64a53354663e466abcff6974e0,REJECTED,FUTURE_AMENDMENT_FOR_AS_OF_DATE,대체 청크에는 질의 기준일 이후인 2026-10-01 시행 개정문이 포함되어 당시 근거로 확장할 수 없음,competition-team-owner,2026-09-02
IRC-088,chk_cab97dcf81fdb9bdf63d41cfca2cbeaff9d3609c541cf8fbe7fb21bcb090a840,chk_d77763da67b28c3414fefa6bd43d4653f336bf64a53354663e466abcff6974e0,REJECTED,FUTURE_AMENDMENT_FOR_AS_OF_DATE,대체 청크에는 질의 기준일 이후인 2026-10-01 시행 개정문이 포함되어 당시 근거로 확장할 수 없음,competition-team-owner,2026-09-02
IRC-089,chk_cab97dcf81fdb9bdf63d41cfca2cbeaff9d3609c541cf8fbe7fb21bcb090a840,chk_d77763da67b28c3414fefa6bd43d4653f336bf64a53354663e466abcff6974e0,REJECTED,FUTURE_AMENDMENT_FOR_AS_OF_DATE,대체 청크에는 질의 기준일 이후인 2026-10-01 시행 개정문이 포함되어 당시 근거로 확장할 수 없음,competition-team-owner,2026-09-02
IRC-090,chk_cab97dcf81fdb9bdf63d41cfca2cbeaff9d3609c541cf8fbe7fb21bcb090a840,chk_d77763da67b28c3414fefa6bd43d4653f336bf64a53354663e466abcff6974e0,REJECTED,FUTURE_AMENDMENT_FOR_AS_OF_DATE,대체 청크에는 질의 기준일 이후인 2026-10-01 시행 개정문이 포함되어 당시 근거로 확장할 수 없음,competition-team-owner,2026-09-02
