candidateId,query,expectedAction,relevantChunkIds,evidenceHeading,evidenceExcerpt,principalRoles,requesterAudiences,asOf,tags,sourceKind,reviewDecision,reviewComment
RC-001,금융거래 안심차단 서비스는 어디에서 신청하나요?,ANSWER,chk_1111111111111111111111111111111111111111111111111111111111111111,서비스 신청,금융거래 안심차단 서비스는 거래 금융회사 영업점이나 지정된 비대면 채널에서 본인이 신청할 수 있습니다.,PROTECTION_STAFF,STAFF,2026-08-25,안심차단|신청|정확질의,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미가 일치하며 현재 feature-hashing 검색에서도 정답 청크 반환을 확인했습니다.
RC-002,비대면으로 안심차단을 신청할 수 있는 채널이 있나요?,ANSWER,chk_1111111111111111111111111111111111111111111111111111111111111111,서비스 신청,금융거래 안심차단 서비스는 거래 금융회사 영업점이나 지정된 비대면 채널에서 본인이 신청할 수 있습니다.,PROTECTION_STAFF,STAFF,2026-08-25,안심차단|신청|말투변형,SYNTHETIC_REVIEW_ONLY,ACCEPTED,"2차 검수: 질문은 구체적 채널명이 아니라 비대면 신청 채널의 존재 여부를 묻고, 근거에 ‘지정된 비대면 채널’이 명시되어 정답 청크로 충분합니다. 현재 검색 미반환은 별도 튜닝 대상입니다."
RC-003,고객이 계좌 안심차단을 걸고 싶다고 합니다,ANSWER,chk_1111111111111111111111111111111111111111111111111111111111111111,서비스 신청,금융거래 안심차단 서비스는 거래 금융회사 영업점이나 지정된 비대면 채널에서 본인이 신청할 수 있습니다.,DETECTION_ADMIN,STAFF,2026-08-25,안심차단|신청|자연어,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미는 일치합니다. 현재 feature-hashing 검색은 임계값에서 미반환하므로 hard query 및 모델·가중치 회귀 대상으로 유지합니다.
RC-004,거래 금융회사 영업점에서 안심차단 신청이 가능한가요?,ANSWER,chk_1111111111111111111111111111111111111111111111111111111111111111,서비스 신청,금융거래 안심차단 서비스는 거래 금융회사 영업점이나 지정된 비대면 채널에서 본인이 신청할 수 있습니다.,PROTECTION_STAFF,STAFF,2026-08-25,안심차단|영업점,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미가 일치하며 현재 feature-hashing 검색에서도 정답 청크 반환을 확인했습니다.
RC-005,본인이 직접 안심차단을 신청하는 절차를 알려주세요,ANSWER,chk_1111111111111111111111111111111111111111111111111111111111111111,서비스 신청,금융거래 안심차단 서비스는 거래 금융회사 영업점이나 지정된 비대면 채널에서 본인이 신청할 수 있습니다.,PROTECTION_STAFF,STAFF,2026-08-25,안심차단|본인신청,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미는 일치합니다. 현재 feature-hashing 검색은 임계값에서 미반환하므로 hard query 및 모델·가중치 회귀 대상으로 유지합니다.
RC-006,안심차단을 해제하려면 어디로 가야 하나요?,ANSWER,chk_2222222222222222222222222222222222222222222222222222222222222222,서비스 해제,안심차단 해제는 본인 확인 후 거래 금융회사 영업점에서 요청하며 처리 결과를 확인해야 합니다.,PROTECTION_STAFF,STAFF,2026-08-25,안심차단|해제|정확질의,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미는 일치합니다. 현재 feature-hashing 검색은 임계값에서 미반환하므로 hard query 및 모델·가중치 회귀 대상으로 유지합니다.
RC-007,안심차단 해제할 때 본인 확인이 필요한가요?,ANSWER,chk_2222222222222222222222222222222222222222222222222222222222222222,서비스 해제,안심차단 해제는 본인 확인 후 거래 금융회사 영업점에서 요청하며 처리 결과를 확인해야 합니다.,DETECTION_ADMIN,STAFF,2026-08-25,안심차단|해제|본인확인,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미가 일치하며 현재 feature-hashing 검색에서도 정답 청크 반환을 확인했습니다.
RC-008,차단을 풀어달라는 고객에게 어떤 절차를 안내하나요?,ANSWER,chk_2222222222222222222222222222222222222222222222222222222222222222,서비스 해제,안심차단 해제는 본인 확인 후 거래 금융회사 영업점에서 요청하며 처리 결과를 확인해야 합니다.,PROTECTION_STAFF,STAFF,2026-08-25,안심차단|해제|자연어,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미는 일치합니다. 현재 feature-hashing 검색은 임계값에서 미반환하므로 hard query 및 모델·가중치 회귀 대상으로 유지합니다.
RC-009,금융회사 영업점에서 안심차단 해제를 요청할 수 있나요?,ANSWER,chk_2222222222222222222222222222222222222222222222222222222222222222,서비스 해제,안심차단 해제는 본인 확인 후 거래 금융회사 영업점에서 요청하며 처리 결과를 확인해야 합니다.,PROTECTION_STAFF,STAFF,2026-08-25,안심차단|해제|영업점,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미가 일치하며 현재 feature-hashing 검색에서도 정답 청크 반환을 확인했습니다.
RC-010,안심차단 해제 후 처리 결과도 확인해야 합니까?,ANSWER,chk_2222222222222222222222222222222222222222222222222222222222222222,서비스 해제,안심차단 해제는 본인 확인 후 거래 금융회사 영업점에서 요청하며 처리 결과를 확인해야 합니다.,PROTECTION_STAFF,STAFF,2026-08-25,안심차단|처리결과,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미가 일치하며 현재 feature-hashing 검색에서도 정답 청크 반환을 확인했습니다.
RC-011,신뢰연락인 등록에 고객 동의가 필요한가요?,ANSWER,chk_3333333333333333333333333333333333333333333333333333333333333333,신뢰연락인 등록,신뢰연락인 등록은 고객의 명시적 동의를 받은 뒤 연락 범위와 동의 유효기간을 기록하여 처리합니다.,PROTECTION_STAFF,STAFF,2026-08-25,신뢰연락인|동의|정확질의,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미가 일치하며 현재 feature-hashing 검색에서도 정답 청크 반환을 확인했습니다.
RC-012,신뢰연락인을 지정할 때 어떤 내용을 기록해야 하나요?,ANSWER,chk_3333333333333333333333333333333333333333333333333333333333333333,신뢰연락인 등록,신뢰연락인 등록은 고객의 명시적 동의를 받은 뒤 연락 범위와 동의 유효기간을 기록하여 처리합니다.,PROTECTION_STAFF,STAFF,2026-08-25,신뢰연락인|기록,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미는 일치합니다. 현재 feature-hashing 검색은 임계값에서 미반환하므로 hard query 및 모델·가중치 회귀 대상으로 유지합니다.
RC-013,연락 범위와 동의 유효기간은 어디에 남기나요?,ANSWER,chk_3333333333333333333333333333333333333333333333333333333333333333,신뢰연락인 등록,신뢰연락인 등록은 고객의 명시적 동의를 받은 뒤 연락 범위와 동의 유효기간을 기록하여 처리합니다.,PROTECTION_STAFF,STAFF,2026-08-25,신뢰연락인|유효기간,SYNTHETIC_REVIEW_ONLY,AMBIGUOUS,2차 검수: 질문은 기록 위치인 ‘어디에’를 묻지만 근거는 연락 범위와 유효기간을 기록한다는 사실만 제시합니다. ‘연락 범위와 동의 유효기간도 기록해야 하나요?’로 수정 후 승인하는 편이 정확합니다.
RC-014,고객이 명확하게 동의하지 않았는데 신뢰연락인을 등록해도 되나요?,ANSWER,chk_3333333333333333333333333333333333333333333333333333333333333333,신뢰연락인 등록,신뢰연락인 등록은 고객의 명시적 동의를 받은 뒤 연락 범위와 동의 유효기간을 기록하여 처리합니다.,PROTECTION_STAFF,STAFF,2026-08-25,신뢰연락인|명시적동의|부정형,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미는 일치합니다. 현재 feature-hashing 검색은 임계값에서 미반환하므로 hard query 및 모델·가중치 회귀 대상으로 유지합니다.
RC-015,신뢰연락인 등록 처리의 선행 조건을 알려주세요,ANSWER,chk_3333333333333333333333333333333333333333333333333333333333333333,신뢰연락인 등록,신뢰연락인 등록은 고객의 명시적 동의를 받은 뒤 연락 범위와 동의 유효기간을 기록하여 처리합니다.,PROTECTION_STAFF,STAFF,2026-08-25,신뢰연락인|선행조건,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미가 일치하며 현재 feature-hashing 검색에서도 정답 청크 반환을 확인했습니다.
RC-016,고객이 보호서비스 동의를 철회할 수 있나요?,ANSWER,chk_4444444444444444444444444444444444444444444444444444444444444444,동의 철회,고객은 보호서비스 동의를 철회할 수 있으며 철회 시점과 대상 범위를 감사 이력에 남깁니다.,PROTECTION_STAFF,STAFF,2026-08-25,동의|철회|정확질의,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미가 일치하며 현재 feature-hashing 검색에서도 정답 청크 반환을 확인했습니다.
RC-017,보호서비스 동의 철회 시 감사 이력에 무엇을 남기나요?,ANSWER,chk_4444444444444444444444444444444444444444444444444444444444444444,동의 철회,고객은 보호서비스 동의를 철회할 수 있으며 철회 시점과 대상 범위를 감사 이력에 남깁니다.,COMPLIANCE_REVIEWER,STAFF,2026-08-25,동의|철회|감사,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미가 일치하며 현재 feature-hashing 검색에서도 정답 청크 반환을 확인했습니다.
RC-018,동의를 취소해 달라는 고객 요청은 어떻게 기록합니까?,ANSWER,chk_4444444444444444444444444444444444444444444444444444444444444444,동의 철회,고객은 보호서비스 동의를 철회할 수 있으며 철회 시점과 대상 범위를 감사 이력에 남깁니다.,PROTECTION_STAFF,STAFF,2026-08-25,동의|철회|자연어,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미는 일치합니다. 현재 feature-hashing 검색은 임계값에서 미반환하므로 hard query 및 모델·가중치 회귀 대상으로 유지합니다.
RC-019,동의 철회 시점뿐 아니라 대상 범위도 남겨야 하나요?,ANSWER,chk_4444444444444444444444444444444444444444444444444444444444444444,동의 철회,고객은 보호서비스 동의를 철회할 수 있으며 철회 시점과 대상 범위를 감사 이력에 남깁니다.,PROTECTION_STAFF,STAFF,2026-08-25,동의|철회시점|대상범위,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미가 일치하며 현재 feature-hashing 검색에서도 정답 청크 반환을 확인했습니다.
RC-020,보호서비스 동의는 철회할 수 없나요?,ANSWER,chk_4444444444444444444444444444444444444444444444444444444444444444,동의 철회,고객은 보호서비스 동의를 철회할 수 있으며 철회 시점과 대상 범위를 감사 이력에 남깁니다.,PROTECTION_STAFF,STAFF,2026-08-25,동의|철회|부정형,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미가 일치하며 현재 feature-hashing 검색에서도 정답 청크 반환을 확인했습니다.
RC-021,보이스피싱이 의심될 때 송금을 계속해도 되나요?,ANSWER,chk_5555555555555555555555555555555555555555555555555555555555555555,의심 연락 대응,보이스피싱이 의심되면 송금이나 인증번호 전달을 중단하고 금융회사 상담 창구와 신고 기관을 안내합니다.,PROTECTION_STAFF,STAFF,2026-08-25,보이스피싱|송금|부정형,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미는 일치합니다. 현재 feature-hashing 검색은 임계값에서 미반환하므로 hard query 및 모델·가중치 회귀 대상으로 유지합니다.
RC-022,상대방이 인증번호를 보내 달라고 합니다,ANSWER,chk_5555555555555555555555555555555555555555555555555555555555555555,의심 연락 대응,보이스피싱이 의심되면 송금이나 인증번호 전달을 중단하고 금융회사 상담 창구와 신고 기관을 안내합니다.,DETECTION_ADMIN,STAFF,2026-08-25,보이스피싱|인증번호|자연어,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미는 일치합니다. 현재 feature-hashing 검색은 임계값에서 미반환하므로 hard query 및 모델·가중치 회귀 대상으로 유지합니다.
RC-023,의심 연락을 받은 고객에게 어디로 상담하라고 안내하나요?,ANSWER,chk_5555555555555555555555555555555555555555555555555555555555555555,의심 연락 대응,보이스피싱이 의심되면 송금이나 인증번호 전달을 중단하고 금융회사 상담 창구와 신고 기관을 안내합니다.,PROTECTION_STAFF,STAFF,2026-08-25,보이스피싱|상담창구,SYNTHETIC_REVIEW_ONLY,ACCEPTED,2차 검수: 질문과 정답 청크의 의미는 일치합니다. 현재 feature-hashing 검색은 임계값에서 미반환하므로 hard query 및 모델·가중치 회귀 대상으로 유지합니다.
