candidateId,expectedChunkId,expectedEvidenceRecommendation,top1ChunkId,top1AlternativeRecommendation,reasonCode,reviewComment,reviewedBy,reviewedAt
IRC-011,chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,ACCEPT,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a,REJECT,WRONG_SUBSECTION_NO_PROCEDURE,기대 청크는 확인·이용의사·지명·동의·정보취득·전송 절차를 직접 답하지만 Top-1은 대상과 상품 범위 중심임,codex-assisted-content-review,2026-09-02
IRC-012,chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,ACCEPT,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a,REJECT,WRONG_SUBSECTION_NO_PROCEDURE,기대 청크는 확인·이용의사·지명·동의·정보취득·전송 절차를 직접 답하지만 Top-1은 대상과 상품 범위 중심임,codex-assisted-content-review,2026-09-02
IRC-013,chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,ACCEPT,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a,REJECT,WRONG_SUBSECTION_NO_PROCEDURE,기대 청크는 확인·이용의사·지명·동의·정보취득·전송 절차를 직접 답하지만 Top-1은 대상과 상품 범위 중심임,codex-assisted-content-review,2026-09-02
IRC-014,chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,ACCEPT,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a,REJECT,WRONG_SUBSECTION_NO_PROCEDURE,기대 청크는 확인·이용의사·지명·동의·정보취득·전송 절차를 직접 답하지만 Top-1은 대상과 상품 범위 중심임,codex-assisted-content-review,2026-09-02
IRC-015,chk_0cc863a2feaac8f38c47a16ef4284eadcbdd3715249d0b3cc9c55abcd73fc882,ACCEPT,chk_c9e13f52842ca4eb2af850aad5d94ee0753b7ff8cd90a8e11d5583f4962bfd9a,REJECT,WRONG_SUBSECTION_NO_PROCEDURE,기대 청크는 확인·이용의사·지명·동의·정보취득·전송 절차를 직접 답하지만 Top-1은 대상과 상품 범위 중심임,codex-assisted-content-review,2026-09-02
IRC-031,chk_36573d6ae15a475d53ffec73c314795b99fa19bea20ddd2def67dec79935cfcf,ACCEPT,chk_3980e37444f0402405ca47dbb3434ae754919f186b468681ce07214f04d721e9,ACCEPT,BROADER_CHUNK_CONTAINS_DIRECT_ANSWER,기대 청크와 Top-1 모두 어카운트인포·모바일·인터넷뱅킹을 통한 비대면 신청 가능 여부를 직접 답함,codex-assisted-content-review,2026-09-02
IRC-032,chk_36573d6ae15a475d53ffec73c314795b99fa19bea20ddd2def67dec79935cfcf,ACCEPT,chk_3980e37444f0402405ca47dbb3434ae754919f186b468681ce07214f04d721e9,ACCEPT,BROADER_CHUNK_CONTAINS_DIRECT_ANSWER,기대 청크와 Top-1 모두 어카운트인포·모바일·인터넷뱅킹을 통한 비대면 신청 가능 여부를 직접 답함,codex-assisted-content-review,2026-09-02
IRC-033,chk_36573d6ae15a475d53ffec73c314795b99fa19bea20ddd2def67dec79935cfcf,ACCEPT,chk_3980e37444f0402405ca47dbb3434ae754919f186b468681ce07214f04d721e9,ACCEPT,BROADER_CHUNK_CONTAINS_DIRECT_ANSWER,기대 청크와 Top-1 모두 어카운트인포·모바일·인터넷뱅킹을 통한 비대면 신청 가능 여부를 직접 답함,codex-assisted-content-review,2026-09-02
IRC-034,chk_36573d6ae15a475d53ffec73c314795b99fa19bea20ddd2def67dec79935cfcf,ACCEPT,chk_3980e37444f0402405ca47dbb3434ae754919f186b468681ce07214f04d721e9,ACCEPT,BROADER_CHUNK_CONTAINS_DIRECT_ANSWER,기대 청크와 Top-1 모두 어카운트인포·모바일·인터넷뱅킹을 통한 비대면 신청 가능 여부를 직접 답함,codex-assisted-content-review,2026-09-02
IRC-035,chk_36573d6ae15a475d53ffec73c314795b99fa19bea20ddd2def67dec79935cfcf,ACCEPT,chk_3980e37444f0402405ca47dbb3434ae754919f186b468681ce07214f04d721e9,ACCEPT,BROADER_CHUNK_CONTAINS_DIRECT_ANSWER,기대 청크와 Top-1 모두 어카운트인포·모바일·인터넷뱅킹을 통한 비대면 신청 가능 여부를 직접 답함,codex-assisted-content-review,2026-09-02
IRC-036,chk_9f28f089542be1947ab2a34ce21fa3bac48e79b9da83ec979b3e9a3e7d07e29b,ACCEPT,chk_3980e37444f0402405ca47dbb3434ae754919f186b468681ce07214f04d721e9,REJECT,CHANNEL_ONLY_NO_DELEGATE_SCOPE,기대 청크는 본인·법정대리인만 가능하다는 범위를 직접 답하지만 Top-1은 신청·해제 채널만 설명함,codex-assisted-content-review,2026-09-02
IRC-037,chk_9f28f089542be1947ab2a34ce21fa3bac48e79b9da83ec979b3e9a3e7d07e29b,ACCEPT,chk_3980e37444f0402405ca47dbb3434ae754919f186b468681ce07214f04d721e9,REJECT,CHANNEL_ONLY_NO_DELEGATE_SCOPE,기대 청크는 본인·법정대리인만 가능하다는 범위를 직접 답하지만 Top-1은 신청·해제 채널만 설명함,codex-assisted-content-review,2026-09-02
IRC-038,chk_9f28f089542be1947ab2a34ce21fa3bac48e79b9da83ec979b3e9a3e7d07e29b,ACCEPT,chk_3980e37444f0402405ca47dbb3434ae754919f186b468681ce07214f04d721e9,REJECT,CHANNEL_ONLY_NO_DELEGATE_SCOPE,기대 청크는 본인·법정대리인만 가능하다는 범위를 직접 답하지만 Top-1은 신청·해제 채널만 설명함,codex-assisted-content-review,2026-09-02
IRC-039,chk_9f28f089542be1947ab2a34ce21fa3bac48e79b9da83ec979b3e9a3e7d07e29b,ACCEPT,chk_3980e37444f0402405ca47dbb3434ae754919f186b468681ce07214f04d721e9,REJECT,CHANNEL_ONLY_NO_DELEGATE_SCOPE,기대 청크는 본인·법정대리인만 가능하다는 범위를 직접 답하지만 Top-1은 신청·해제 채널만 설명함,codex-assisted-content-review,2026-09-02
IRC-040,chk_9f28f089542be1947ab2a34ce21fa3bac48e79b9da83ec979b3e9a3e7d07e29b,ACCEPT,chk_3980e37444f0402405ca47dbb3434ae754919f186b468681ce07214f04d721e9,REJECT,CHANNEL_ONLY_NO_DELEGATE_SCOPE,기대 청크는 본인·법정대리인만 가능하다는 범위를 직접 답하지만 Top-1은 신청·해제 채널만 설명함,codex-assisted-content-review,2026-09-02
